dendroFD	TOP	TED	MVNHdet	TPD_FRich	TPD_FEve	TPD_FDiv	HV_Rich	HV_Reg	HV_Dev	n_sim	range_trait1	CVcomm	CVintrasp
0.975704747	122.3990213	0.944068766	51.71953721	2943.266652	0.485280661	0.395454274	155.1975901	0.476263505	5.009903497	10	40	0.3	0.1
1.066869268	150.6770153	0.882336331	59.25275893	2943.266652	0.481930114	0.395746184	171.0035634	0.539029952	6.544319286	10	40	0.3	0.1
0.902102565	132.3258122	0.890855144	61.23052217	2943.266652	0.485280661	0.395454274	150.8940174	0.621526129	4.413518255	10	40	0.3	0.2
0.85466751	121.5204503	0.947214142	19.93929143	2943.266652	0.481930114	0.395746184	94.93402198	0.536933427	4.604380517	10	40	0.3	0.2
1.064127033	117.5888757	0.9192025	32.93443639	2943.266652	0.485280661	0.395454274	125.9262947	0.591262012	4.986199351	10	40	0.3	0.2
1.099262267	135.164252	0.892803584	50.0534949	2943.266652	0.481930114	0.395746184	161.8198461	0.493008506	5.310164853	10	40	0.3	0.3
0.990631214	139.1658942	0.92514553	73.60386993	2943.266652	0.485280661	0.395454274	181.6971092	0.651367882	5.28485962	10	40	0.3	0.3
0.939810465	132.2877298	0.944658684	58.8251621	2943.266652	0.481930114	0.395746184	186.5969969	0.653050066	5.238208587	10	40	0.3	0.4
1.601841173	374.0644962	0.932231313	2311.834531	2943.266652	0.485280661	0.395454274	1170.86523	0.598801075	17.4412221	10	40	0.3	0.4
1.507995273	205.788393	0.973677503	135.6126363	1415.159978	0.448307711	0.363950783	306.4918438	0.846930559	8.911333725	11	5	0.3	0
1.613394052	163.9193941	0.841433225	52.81796425	1415.159978	0.448830815	0.363724452	150.0123226	0.510015603	6.633150728	11	5	0.3	0.1
1.37858106	134.1714198	0.874895631	21.29457614	1415.159978	0.448307711	0.363950783	99.60988056	0.55997681	3.660812962	11	5	0.3	0.1
1.321233099	109.9145647	0.957445221	16.36516891	1415.159978	0.448830815	0.363724452	92.28744059	0.573974408	3.764258464	11	5	0.3	0.2
1.241823667	100.2620351	0.868751412	11.81909315	1415.159978	0.448307711	0.363950783	77.753004	0.541468813	3.018969745	11	5	0.3	0.2
1.170262301	120.6925583	0.875716519	11.32816405	1415.159978	0.448830815	0.363724452	78.48218085	0.541135269	4.42527034	11	5	0.3	0.2
1.368049147	149.6219392	0.94337903	31.72744623	1415.159978	0.448307711	0.363950783	131.8388876	0.672809464	7.092478576	11	5	0.3	0.3
1.095569683	77.2116964	0.921536735	5.902016644	1415.159978	0.448830815	0.363724452	51.56111796	0.66039455	3.366135533	11	5	0.3	0.3
1.443142487	122.849174	0.933595911	28.48137517	1415.159978	0.448307711	0.363950783	123.8178287	0.707558363	5.049780694	11	5	0.3	0.4
1.884325686	348.5393546	0.786268415	315.5876973	1415.159978	0.448830815	0.363724452	614.3638387	0.693213636	18.37315916	11	5	0.3	0.4
1.751129321	223.0396063	0.970441625	258.3199902	1448.106334	0.506652775	0.426588178	460.8624548	0.771158522	8.548162836	12	8.9	0.3	0
1.375174837	144.7198647	0.847926368	30.80000815	1448.106334	0.506652775	0.426588178	130.1937331	0.637236	5.243813795	12	8.9	0.3	0.1
1.417036348	148.1781015	0.929809464	59.91106852	1448.106334	0.506652775	0.426588178	182.4608452	0.645351413	4.1767348	12	8.9	0.3	0.1
1.319111456	119.5858805	0.937063347	16.48112415	1448.106334	0.506652775	0.426588178	97.91117106	0.495346788	3.607040203	12	8.9	0.3	0.2
1.324642577	139.1586587	0.875815912	43.46909078	1448.106334	0.506652775	0.426588178	161.7491702	0.510067423	6.338133644	12	8.9	0.3	0.2
1.24782003	93.17777586	0.888356911	8.542110329	1448.106334	0.506652775	0.426588178	70.12094501	0.603324391	3.422747167	12	8.9	0.3	0.2
1.517766942	134.7707346	0.895972737	35.50839591	1448.106334	0.506652775	0.426588178	125.1739283	0.488968707	6.269870244	12	8.9	0.3	0.3
1.120087754	100.284686	0.86593519	11.03324963	1448.106334	0.506652775	0.426588178	79.05388049	0.565268597	4.554601604	12	8.9	0.3	0.3
1.399167415	142.0636266	0.913025162	33.1155125	1448.106334	0.506652775	0.426588178	139.9702708	0.536534568	5.627524464	12	8.9	0.3	0.4
1.626594339	251.5010363	0.940582647	186.5658175	1448.106334	0.506652775	0.426588178	377.5927314	0.679761863	9.517536014	12	8.9	0.3	0.4
1.337282776	195.3663795	0.847727954	93.06264029	1738.577059	0.487214549	0.421768734	290.5036607	0.548312575	7.176175359	13	12.8	0.3	0
1.267228973	126.1873335	0.92889721	37.32578753	1738.577059	0.483025063	0.421445748	150.5421704	0.617786725	4.772205879	13	12.8	0.3	0.1
1.145496741	137.8554523	0.903312742	37.28253735	1738.577059	0.487214549	0.421768734	139.6909217	0.618473099	4.830297443	13	12.8	0.3	0.1
1.023571451	125.5717944	0.955617382	24.17557295	1738.577059	0.483025063	0.421445748	102.776366	0.575446551	4.197228814	13	12.8	0.3	0.2
1.295899818	127.5784371	0.891493744	28.91319956	1738.577059	0.487214549	0.421768734	118.0326135	0.535960574	3.722629548	13	12.8	0.3	0.2
0.988092593	98.54570763	0.954117179	13.87961117	1738.577059	0.483025063	0.421445748	80.19356331	0.631292632	3.202751764	13	12.8	0.3	0.2
1.143325572	150.2023414	0.914642381	30.74466651	1738.577059	0.487214549	0.421768734	114.2368684	0.534508607	4.673505552	13	12.8	0.3	0.3
1.087484164	110.4986201	0.909993131	18.36129649	1738.577059	0.483025063	0.421445748	102.1763796	0.498298626	4.770674364	13	12.8	0.3	0.3
1.291187586	149.0546508	0.961435279	59.17890147	1738.577059	0.487214549	0.421768734	177.4365909	0.616012084	4.801383743	13	12.8	0.3	0.4
1.859204668	399.2438881	0.952140045	523.5536644	1738.577059	0.483025063	0.421445748	851.142476	0.80085576	19.06790231	13	12.8	0.3	0.4
1.51935744	266.0548411	0.956744604	334.4125731	1926.175991	0.482839525	0.412145439	480.5784873	0.644650908	8.846736203	14	16.6	0.3	0
1.370464317	124.0904643	0.860679478	45.59910636	1926.175991	0.484335918	0.412284901	154.995231	0.512787757	4.571129411	14	16.6	0.3	0.1
1.294664343	153.8235098	0.931574629	43.78964516	1926.175991	0.482839525	0.412145439	155.2841601	0.479420785	5.067696775	14	16.6	0.3	0.1
0.966061882	107.2968937	0.96706155	23.70688624	1926.175991	0.484335918	0.412284901	108.6046557	0.634052834	4.597085486	14	16.6	0.3	0.2
0.952763901	85.05124068	0.900272856	9.520664233	1926.175991	0.482839525	0.412145439	69.55243482	0.412368793	2.668813095	14	16.6	0.3	0.2
1.135532488	113.2867058	0.870000973	34.27574229	1926.175991	0.484335918	0.412284901	118.0365314	0.500015522	3.908645337	14	16.6	0.3	0.2
1.121178732	118.7239636	0.916681932	24.29006012	1926.175991	0.482839525	0.412145439	111.9497552	0.45446661	3.58652159	14	16.6	0.3	0.3
1.15345979	114.3391101	0.948246598	25.0543297	1926.175991	0.484335918	0.412284901	97.53618071	0.673505706	4.62341627	14	16.6	0.3	0.3
1.855310668	257.6865436	0.94836838	209.0202794	1926.175991	0.482839525	0.412145439	349.2203054	0.616823423	8.173260081	14	16.6	0.3	0.4
1.45440442	236.5256054	0.961789549	418.9283862	1926.175991	0.484335918	0.412284901	482.1992888	0.65542684	9.77142298	14	16.6	0.3	0.4
1.392212993	239.350665	0.965035878	170.997241	1461.340641	0.499576373	0.424379069	341.8263557	0.700449421	10.17097699	15	20.5	0.3	0
1.185893969	117.2885351	0.883491557	16.26971683	1461.340641	0.499576373	0.424379069	101.4341053	0.609430108	4.877530126	15	20.5	0.3	0.1
1.025215175	94.86834418	0.894524179	12.88609861	1461.340641	0.499576373	0.424379069	84.40623541	0.508597195	3.612413452	15	20.5	0.3	0.1
0.978434266	116.3870163	0.905291446	15.43334653	1461.340641	0.499576373	0.424379069	87.6272044	0.573517006	5.314671741	15	20.5	0.3	0.2
1.199064844	124.7974935	0.823393396	19.58816797	1461.340641	0.499576373	0.424379069	103.8900357	0.505153309	4.452777846	15	20.5	0.3	0.2
1.109198866	102.5349157	0.956813041	12.23324035	1461.340641	0.499576373	0.424379069	72.57266991	0.587999864	3.315435795	15	20.5	0.3	0.2
1.161396962	135.4427088	0.890596249	34.87904305	1461.340641	0.499576373	0.424379069	126.9733726	0.587329584	5.839033169	15	20.5	0.3	0.3
1.089609493	111.4145102	0.966030789	22.89857681	1461.340641	0.499576373	0.424379069	106.6811381	0.614184688	4.138037381	15	20.5	0.3	0.3
1.330912795	117.8797094	0.964470664	24.94971376	1461.340641	0.499576373	0.424379069	117.5052105	0.629927096	4.813775141	15	20.5	0.3	0.4
1.422088188	264.9037765	0.888365547	309.7151426	1461.340641	0.499576373	0.424379069	529.8686413	0.679504393	10.74086486	15	20.5	0.3	0.4
1.355548702	219.536277	0.887807323	167.0529555	1627.683014	0.517749018	0.438245239	435.358235	0.703497924	12.46991214	16	24.5	0.3	0
1.04190502	122.1381252	0.901833719	30.11908132	1627.683014	0.519999414	0.437698801	122.0134269	0.60036698	5.532763848	16	24.5	0.3	0.1
1.082113342	120.2624704	0.863635557	27.34853634	1627.683014	0.517749018	0.438245239	117.7327103	0.550718803	3.698428875	16	24.5	0.3	0.1
1.27746752	115.6921161	0.9792972	36.00815378	1627.683014	0.519999414	0.437698801	124.4255719	0.599574203	3.23047941	16	24.5	0.3	0.2
0.992187996	128.7998062	0.899413753	30.95777702	1627.683014	0.517749018	0.438245239	124.1177432	0.580321803	4.469568952	16	24.5	0.3	0.2
1.147498755	123.400243	0.951755333	33.60405664	1627.683014	0.519999414	0.437698801	122.940182	0.554631935	5.074982146	16	24.5	0.3	0.2
1.044197445	118.1228703	0.934800082	23.51365882	1627.683014	0.517749018	0.438245239	111.8744737	0.563608309	4.514774408	16	24.5	0.3	0.3
1.16331826	116.7539333	0.94670768	37.73342492	1627.683014	0.519999414	0.437698801	141.6822523	0.606848163	5.291324962	16	24.5	0.3	0.3
1.237468133	151.8418814	0.949858444	45.41859105	1627.683014	0.517749018	0.438245239	144.7407155	0.62276777	5.436893886	16	24.5	0.3	0.4
1.541204802	214.197307	0.96744006	252.2291503	1627.683014	0.519999414	0.437698801	365.6747135	0.538167598	6.843610413	16	24.5	0.3	0.4
1.18919629	246.5277456	0.954600824	242.4553366	2176.235577	0.49026655	0.459414172	406.9987159	0.638769958	8.186423896	17	28.4	0.3	0
1.114857876	135.3338071	0.890276203	38.56913973	2176.235577	0.494903703	0.458656597	128.9029214	0.427182972	4.950073532	17	28.4	0.3	0.1
1.090400995	135.284705	0.953400438	40.32108163	2176.235577	0.49026655	0.459414172	154.355561	0.584910336	4.214004218	17	28.4	0.3	0.1
